#OpenSSPAPI Version 18.09.003
#Email: matthew.r.lammers@nasa.gov
#Session ID: SID2019-05-20T19:32:31.607Z
 Query Number: 1
#Request String: OpenSSPAPI?email=matthew.r.lammers@nasa.gov&size=all/all&dsubm=2&bs=0.1&bunit=millimeters&mu=2.21&aval=0.00536&bval=2.26&diff=10&frequency=023.816GHz
Frequency[GHz]	Wvlngth[um]	Size[mm]	D_max[um]	rho_D_max[g/cm^3]	Q_bk	Q_ext	Q_sca	Q_abs	g	Volume[um^3]	Prj_Area[um^2]	Sfc_Area[um^2]	r_eq_vol[um]	r_eq_prj[um]	r_eq_sfc[um]	L_lx[um]	L_ly[um]	L_lz[um]	rho_elps[g/cm^3]	d_fractal	bin_count
023.816	99931.0	0.100000-0.200000	380.7887	0.1110	3.0376E-7	6.2523E-5	2.5619E-6	5.9963E-5	0.0014	3500000.0000	47500.0000	275000.0000	94.1875	122.9623	147.9317	114.3538	166.9593	310.6470	0.1291	3.0000	6.070448120141953
023.816	99931.0	0.200000-0.300000	654.4654	0.0724	1.8636E-6	1.3008E-4	1.6065E-5	1.1402E-4	0.0029	11562500.0000	67500.0000	698333.3333	139.8664	135.8790	234.0538	89.9888	350.8597	440.5601	0.3886	2.7090	14.016528691120808
023.816	99931.0	0.300000-0.400000	936.9621	0.0551	6.0807E-6	2.1016E-4	5.3241E-5	1.5692E-4	0.0055	26291666.6667	178333.3333	1449166.6667	183.1347	224.1838	337.9967	209.3280	422.0534	577.8948	0.3408	2.1804	22.377699145812027
023.816	99931.0	0.400000-0.500000	1327.1833	0.0427	1.5074E-5	3.2391E-4	1.3172E-4	1.9218E-4	0.0088	57270833.3333	206180.5556	2652222.2222	238.1320	239.7650	455.5015	163.5106	622.7324	781.8074	0.3674	2.7017	29.680953320797553
023.816	99931.0	0.500000-0.600000	1695.7814	0.0339	2.8641E-5	4.8269E-4	2.5324E-4	2.2944E-4	0.0143	94537500.0000	623650.0000	4889500.0000	281.5217	418.1763	615.1965	457.7390	795.4817	1120.3064	0.1328	2.1305	35.222888072851
023.816	99931.0	0.600000-0.700000	2116.8526	0.0290	5.3941E-5	7.6142E-4	4.8829E-4	2.7312E-4	0.0231	156379808.0000	659682.6923	7332500.0000	333.5366	418.9604	759.4101	408.3344	1194.2646	1394.6138	0.2052	2.3681	38.81309575943439
023.816	99931.0	0.700000-0.800000	2564.9101	0.0252	9.2055E-5	0.0012	8.6113E-4	3.1856E-4	0.0348	243011365.0909	832505.9688	11033409.0909	386.6403	454.7743	934.0792	419.0394	1368.6668	1476.7391	0.2812	2.6436	40.56479370322263
023.816	99931.0	0.800000-0.900000	3072.9999	0.0227	1.6667E-4	0.0020	0.0016	3.8844E-4	0.0448	375229167.3333	428800.3542	12799687.5000	447.0668	355.4842	1006.1124	124.3763	1636.8962	1698.0434	0.3632	2.9543	40.74670931447362
023.816	99931.0	0.900000-1.000000	3506.3595	0.0199	2.1139E-4	0.0026	0.0021	4.1957E-4	0.0620	488419230.5231	637586.6875	17696769.2308	488.0734	424.6370	1181.2528	224.0077	1948.8830	2145.4982	0.2913	2.8355	39.686478188524255
023.816	99931.0	1.000000-1.100000	4042.5593	0.0177	2.9118E-4	0.0036	0.0031	4.7523E-4	0.0855	667639710.1176	602841.3934	23143235.2941	541.7819	423.8127	1354.1944	168.8491	2573.3948	2629.2045	0.3052	2.9124	37.7122250605833
